from_cluster,to_cluster,edge_count
sentinel.agent.context_builder,sentinel.perf.measure,1
sentinel.agent.context_compressor,sentinel.agent.models,1
sentinel.agent.context_compressor,sentinel.perf.measure,1
sentinel.agent.context_engine,sentinel.agent.token_ledger,1
sentinel.agent.context_engine,sentinel.shared.models,1
sentinel.agent.context_engine,sentinel.agent.decision_frame,1
sentinel.agent.context_pressure,sentinel.agent.model_contract,1
sentinel.agent.context_pressure,sentinel.agent.model_cost,1
sentinel.agent.context_pressure,sentinel.agent.token_ledger,1
sentinel.agent.context_pressure,sentinel.shared.models,1
sentinel.agent.controlled_capability,sentinel.agent.artifact_capture,1
sentinel.agent.controlled_capability,sentinel.agent.event_bus,1
sentinel.agent.controlled_capability,sentinel.agent.events,1
sentinel.agent.controlled_capability,sentinel.agent.phases,1
sentinel.agent.controlled_capability,sentinel.agent.tool_call_protocol,1
sentinel.agent.controlled_capability,sentinel.capabilities.models,1
sentinel.agent.controlled_capability,sentinel.capabilities.registry,1
sentinel.agent.controlled_capability,sentinel.capabilities.risk,1
sentinel.agent.controlled_capability,sentinel.mission.models,1
sentinel.agent.controlled_capability,sentinel.shared.models,1
sentinel.agent.decision_frame,sentinel.agent.evidence_ranker,1
sentinel.agent.decision_frame,sentinel.agent.prompt_budget,1
sentinel.agent.decision_frame,sentinel.shared.models,1
sentinel.agent.effort_router,sentinel.agent.events,1
sentinel.agent.effort_router,sentinel.shared.models,1
sentinel.agent.effort_router,sentinel.agent.event_bus,1
sentinel.agent.effort_router,sentinel.agent.hypothesis,1
sentinel.agent.effort_router,sentinel.agent.models,1
sentinel.agent.effort_router,sentinel.agent.state,1
sentinel.agent.effort_router,sentinel.agent.world_model,1
sentinel.agent.epistemic_action,sentinel.agent.event_bus,1
sentinel.agent.epistemic_action,sentinel.agent.events,1
sentinel.agent.epistemic_action,sentinel.mission.models,1
sentinel.agent.epistemic_action,sentinel.shared.enums,1
sentinel.agent.epistemic_action,sentinel.shared.models,1
sentinel.agent.eval_bench,sentinel.agent.events,1
